Post_link,Post_language,Number_of_likes,Number_of_comments,Date_posted,Content_type,Content_format,Number_of_quotes,Number_of_reposts,View_count
https://x.com/ReelOutreach/status/1798386347776037342,English,11,0,"2024-06-05 09:08:00",Announcement,"text, picture",2,11,4152
https://x.com/MOVIEDEATHBLOWS/status/1798385596886630409,English,1,0,"2024-06-05 09:05:00","Express thoughts","text, video",0,0,592
https://x.com/WestWindDriveIn/status/1798385053573009905,English,1,0,"2024-06-05 09:03:00",Announcement,"text, picture",0,0,129
https://x.com/Fandango/status/1798384801352655103,English,102,3,"2024-06-05 09:02:00",Announcement,"text, video",3,31,22400
https://x.com/Dolby/status/1798380294052946123,English,67,3,"2024-06-05 08:44:00",Announcement,"text, picture",0,24,4173
https://x.com/imaxindy/status/1798374102375268839,English,0,0,"2024-06-05 08:19:00",Announcement,"text, picture",0,0,262
https://x.com/DM4HypeGuy/status/1798371059982594420,English,27,3,"2024-06-05 08:07:00","Express thoughts","text, GIF image",0,5,1250
https://x.com/onerdcall/status/1798370191375733240,Portuguese,0,0,"2024-06-05 08:04:00",Announcement,"text, video",0,0,71
https://x.com/kinderus/status/1798369249963979091,English,17,6,"2024-06-05 08:00:00",Announcement,"text, picture",0,0,551
https://x.com/XLeagueUSA/status/1798365242747216285,English,0,0,"2024-06-05 07:44:00","Express thoughts, fanmade","text, picture",0,0,72
https://x.com/DM4HypeGuy/status/1798357418918965466,English,37,1,"2024-06-05 07:13:00","No text","text, picture",0,7,1137
https://x.com/BoxOfficeFcst/status/1798353052371476737,English,13,2,"2024-06-05 06:55:00","Express thoughts","text, picture",0,1,1633
https://x.com/thereelreel/status/1798352174155784636,English,20,0,"2024-06-05 06:52:00",Announcement,"text, video",0,0,281
https://x.com/GeekVibesNation/status/1798351905468674509,English,20,0,"2024-06-05 06:51:00",Announcement,"text, video",0,8,1629
https://x.com/PopcornCatalyst/status/1798347032551448643,English,0,0,"2024-06-05 06:31:00",Announcement,"text, video",0,0,209
https://x.com/DM4HypeGuy/status/1798343070813159472,English,238,5,"2024-06-05 06:16:00",Announcement,"text, video",4,59,6496
https://x.com/GeekVibesNews/status/1798343123015438511,English,1,0,"2024-06-05 06:16:00",Announcement,"text, video",0,0,477
https://x.com/Luiz_Fernando_J/status/1798341393301274853,English,118,12,"2024-06-05 06:09:00",Announcement,"text, video",2,11,19700
https://x.com/Fandango/status/1798339261306945931,English,374,10,"2024-06-05 06:01:00",Announcement,"text, video",9,134,41400
https://x.com/DM4HypeGuy/status/1798339172362797180,English,26,0,"2024-06-05 06:00:00","No text","text, picture",0,3,1017
https://x.com/DM4HypeGuy/status/1798336876157497651,English,164,5,"2024-06-05 05:51:00",Announcement,"text, video",1,36,3539
https://x.com/DM4HypeGuy/status/1798335316610396461,English,108,5,"2024-06-05 05:45:00","No text","text, picture",0,17,2791
https://x.com/DM4HypeGuy/status/1798334208466903437,English,91,3,"2024-06-05 05:41:00","Express thoughts","text, picture",0,12,1901
https://x.com/NoticiasUgc/status/1798314273237840022,Spanish,354,16,"2024-06-05 04:21:00","Express thoughts","text, picture",5,40,39200
https://x.com/UniversalIND/status/1798311367017177420,English,2,1,"2024-06-05 04:10:00",Announcement,"text, video",0,1,356
https://x.com/PersonalityatW/status/1798296222005875083,English,0,0,"2024-06-05 03:10:00","Express thoughts","text, picture",0,0,118
https://x.com/niknikmin/status/1798284703205913056,English,7,1,"2024-06-05 02:24:00","Express thoughts","text, picture",0,1,257
https://x.com/UniversalPicsAU/status/1798263091089846657,English,20,1,"2024-06-05 00:58:00","Express thoughts","text, picture",1,8,2720
https://x.com/DM4HypeGuy/status/1797063498570125470,English,46,0,"2024-06-04 17:31:00","Express thoughts","text, picture",0,0,1317
https://x.com/DM4HypeGuy/status/1798136726499778627,English,57,0,"2024-06-04 16:36:00","No text","text, video",0,12,1168
https://x.com/Minions_Fanboy/status/1798132894835359936,English,34,0,"2024-06-04 16:21:00",Announcement,"text, picture",0,5,1378
https://x.com/DM4HypeGuy/status/1798131193155887123,English,140,3,"2024-06-04 16:14:00",Announcement,"text, picture",8,37,10200
https://x.com/DM4HypeGuy/status/1798129065020522683,English,40,0,"2024-06-04 16:05:00","No text","text, picture",0,6,1000
